dateTime,value
15:03:00,1
15:04:00,1
15:05:00,1
15:06:00,1
15:07:00,1
15:08:00,1
15:09:00,1
15:10:00,1
15:11:00,1
15:12:00,1
15:13:00,1
15:14:00,1
15:15:00,1
15:16:00,1
15:17:00,1
15:18:00,1
15:19:00,1
15:20:00,1
15:21:00,1
15:22:00,1
15:23:00,1
15:24:00,1
15:25:00,1
15:26:00,1
15:27:00,1
15:28:00,1
15:29:00,1
15:30:00,1
15:31:00,1
15:32:00,1
15:33:00,1
15:34:00,1
15:35:00,1
15:36:00,1
15:37:00,1
15:38:00,1
15:39:00,1
15:40:00,1
15:41:00,1
15:42:00,1
15:43:00,1
15:44:00,1
15:45:00,1
15:46:00,1
15:47:00,1
15:48:00,1
15:49:00,1
15:50:00,1
15:51:00,1
15:52:00,1
15:53:00,1
15:54:00,1
15:55:00,1
15:56:00,1
15:57:00,1
15:58:00,1
15:59:00,1
16:00:00,1
16:01:00,1
16:02:00,1
16:03:00,2
16:04:00,2
16:05:00,2
